text .txt
abap .abap
abnf .abnf
ada .adb
adl .adl
agda .agda
aheui .aheui
ahk .ahk
alloy .als
ampl .run
antlr-as .G
antlr-cpp .G
antlr-csharp .G
antlr-java .G
antlr-objc .G
antlr-perl .G
antlr-python .G
antlr-ruby .G
apl .apl
applescript .applescript
arduino .ino
arrow .arw
as .as
as3 .as
aspectj .aj
aspx-cs .aspx
aspx-vb .aspx
asy .asy
at .at
augeas .aug
autoit .au3
awk .awk
bare .bare
bash .sh
bat .bat
bbcbasic .bbc
bc .bc
befunge .befunge
bib .bib
blitzbasic .bb
blitzmax .bmx
bnf .bnf
boa .boa
boo .boo
boogie .bpl
brainfuck .bf
bst .bst
bugs .bug
c-objdump .c-objdump
c .c
ca65 .s
cadl .cadl
camkes .camkes
capdl .cdl
capnp .capnp
cbmbas .bas
ceylon .ceylon
cfc .cfc
cfengine3 .cf
cfm .cfm
chai .chai
chapel .chpl
charmci .ci
cheetah .tmpl
cirru .cirru
clay .clay
clean .icl
clojure .clj
clojurescript .cljs
cmake .cmake
cobol .cob
cobolfree .cbl
coffee-script .coffee
common-lisp .cl
componentpascal .cp
console .sh-session
coq .v
cpp .cpp
cpp-objdump .cpp-objdump
cpsa .cpsa
cr .cr
crmsh .crmsh
croc .croc
cryptol .cry
csharp .cs
csound .orc
csound-document .csd
csound-score .sco
css+mozpreproc .css.in
css .css
cucumber .feature
cuda .cu
cypher .cyp
cython .pyx
d-objdump .d-objdump
d .d
dart .dart
dasm16 .dasm16
delphi .pas
devicetree .dts
dg .dg
diff .diff
docker .docker
dpatch .dpatch
dtd .dtd
duel .duel
dylan-console .dylan-console
dylan-lid .lid
dylan .dylan
earl-grey .eg
easytrieve .ezt
ebnf .ebnf
ec .ec
ecl .ecl
eiffel .e
elixir .ex
elm .elm
emacs .el
email .eml
erl .erl-sh
erlang .erl
evoque .evoque
execline .exec
extempore .xtm
ezhil .n
factor .factor
fan .fan
fancy .fy
felix .flx
fennel .fnl
fish .fish
floscript .flo
forth .frt
fortran .f03
fortranfixed .f
foxpro .PRG
freefem .edp
fsharp .fs
fstar .fst
gap .g
gas .s
gdscript .gd
genshi .kid
glsl .vert
gnuplot .plot
go .go
golo .golo
gooddata-cl .gdc
gosu .gs
groff .[1234567]
groovy .groovy
gst .gst
haml .haml
haskell .hs
haxeml .hxml
hlsl .hlsl
hsail .hsail
html+evoque .html
html+handlebars .handlebars
html+ng2 .ng2
html+php .phtml
html+twig .twig
html .html
hx .hx
hybris .hy
hylang .hy
i6t .i6t
icon .icon
idl .pro
idris .idr
igor .ipf
inform6 .inf
inform7 .ni
ini .ini
io .io
ioke .ik
irc .weechatlog
isabelle .thy
j .ijs
jags .jag
jasmin .j
java .java
javascript+mozpreproc .js.in
jcl .jcl
js .js
jsgf .jsgf
json .json
jsonld .jsonld
jsp .jsp
julia .jl
juttle .juttle
kal .kal
kmsg .kmsg
koka .kk
kotlin .kt
lagda .lagda
lasso .lasso
lcry .lcry
lean .lean
less .less
lhs .lhs
lidr .lidr
limbo .b
liquid .liquid
live-script .ls
llvm-mir .mir
llvm .ll
logos .x
logtalk .lgt
lsl .lsl
lua .lua
make .mak
mako .mao
mako .mao
maql .maql
mask .mask
mason .m
mathematica .nb
matlab .m
md .md
modelica .mo
modula2 .def
monkey .monkey
monte .mt
moocode .moo
moon .moon
mosel .mos
mql .mq4
ms .ms
mscgen .msc
mupad .mu
mxml .mxml
myghty .myt
nasm .asm
ncl .ncl
nemerle .n
nesc .nc
newlisp .lsp
newspeak .ns2
nim .nim
nit .nit
nixos .nix
nsis .nsi
nusmv .smv
objdump-nasm .objdump-intel
objdump .objdump
objective-c++ .mm
objective-c .m
objective-j .j
ocaml .ml
octave .m
odin .odin
ooc .ooc
opa .opa
openedge .p
pan .pan
parasail .psi
pawn .p
peg .peg
perl .pl
perl6 .pl
php .php
pig .pig
pike .pike
pkgconfig .pc
pointless .ptls
pony .pony
postscript .ps
pot .pot
pov .pov
powershell .ps1
praat .praat
prolog .ecl
promql .promql
properties .properties
protobuf .proto
pug .pug
puppet .pp
py2tb .py2tb
pypylog .pypylog
pytb .pytb
python .py
qbasic .BAS
qml .qml
qvto .qvto
racket .rkt
ragel-c .rl
ragel-cpp .rl
ragel-d .rl
ragel-em .rl
ragel-java .rl
ragel-objc .rl
ragel-ruby .rl
rb .rb
rconsole .Rout
rd .Rd
reason .re
rebol .r
red .red
redcode .cw
registry .reg
rexx .rexx
rhtml .rhtml
ride .ride
rnc .rnc
roboconf-graph .graph
roboconf-instances .instances
robotframework .robot
rql .rql
rsl .rsl
rst .rst
rts .rts
rust .rs
sarl .sarl
sas .SAS
sass .sass
sc .sc
scala .scala
scaml .scaml
scdoc .scd
scheme .scm
scilab .sci
scss .scss
sgf .sgf
shen .shen
shexc .shex
sieve .siv
silver .sil
singularity .def
slash .sla
slim .slim
slurm .sl
smali .smali
smalltalk .st
smarty .tpl
sml .sml
snobol .snobol
snowball .sbl
solidity .sol
sp .sp
sparql .rq
spec .spec
splus .S
sql .sql
sqlite3 .sqlite3-console
ssp .ssp
stan .stan
stata .do
swift .swift
swig .swg
systemverilog .sv
tads3 .t
tap .tap
tasm .asm
tcl .tcl
tcsh .tcsh
tea .tea
terraform .tf
tex .tex
thrift .thrift
tid .tid
tnt .tnt
todotxt .todotxt
toml .toml
treetop .treetop
ts .ts
tsql .sql
ttl .ttl
turtle .ttl
typoscript .typoscript
ucode .u
unicon .icn
urbiscript .u
usd .usd
vala .vala
vb.net .vb
vbscript .vbs
vcl .vcl
velocity .vm
verilog .v
vgl .rpf
vhdl .vhdl
vim .vim
wdiff .wdiff
webidl .webidl
whiley .whiley
x10 .x10
xml+evoque .xml
xml .xml
xquery .xqy
xslt .xsl
xtend .xtend
xul+mozpreproc .xul.in
yaml+jinja .sls
yaml .yaml
yang .yang
zeek .zeek
zephir .zep
zig .zig
